_id,place_id,collection_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,2
14,14,2
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2
24,24,2
25,25,2
26,26,2
27,27,2
28,28,2
29,29,2
30,30,2
31,31,2
32,32,2
33,33,2
34,34,2
35,35,2
36,36,2
37,37,2
38,38,2
39,39,2
40,40,2
41,41,3
42,42,3
43,43,3
44,44,3
45,45,3
46,46,3
47,47,3
48,48,3
49,49,3
50,50,3
51,51,3
52,52,3
53,53,3
54,54,3
55,55,3
56,56,3
57,57,3
58,58,3
59,59,3
60,60,3
61,61,3
62,62,3
63,63,3
64,64,3
65,65,3
66,66,3
67,67,3
68,68,3
69,69,3
70,70,3
71,71,3
72,72,4
73,73,4
74,74,4
75,75,4
76,76,4
77,77,4
78,78,4
79,79,5
80,80,5
81,81,5
82,82,5
83,83,5
84,84,5
85,85,5
86,86,5
87,87,5
88,88,5
89,89,5
90,90,5
91,91,5
92,92,5
93,93,5
94,94,5
95,95,5
96,96,5
97,97,5
98,98,5
99,99,5
100,100,5
101,101,5
102,102,5
103,103,5
104,104,5
105,105,5
106,106,5
107,107,5
108,108,5
109,109,5
110,110,5
111,111,5
112,112,6
113,113,6
114,114,6
115,115,6
116,116,6
117,117,6
118,118,6
119,119,6
120,120,6
121,121,6
122,122,7
123,123,7
124,124,7
125,125,7
126,126,7
127,127,7
128,128,7
129,129,7
130,130,7
131,131,7
132,132,8
133,133,8
134,134,8
135,135,8
136,136,9
137,137,9
138,138,9
139,139,10
140,140,10
141,141,10
142,142,10
143,143,10
144,144,10
145,145,10
146,146,10
147,147,10
148,148,10
149,149,11
150,150,11
151,151,11
152,152,11
153,153,11
154,154,11
155,155,11
156,156,11
157,157,11
158,158,11
159,159,11
160,160,11
161,161,11
162,162,11
163,163,11
164,164,11
165,165,11
166,166,12
167,167,12
168,168,12
169,169,12
170,170,12
171,171,12
172,172,12
173,173,12
174,174,12
175,175,12
176,176,12
177,177,12
178,178,12
179,179,12
180,180,12
181,181,12
182,182,12
183,183,12
184,184,12
185,185,12
186,186,12
187,187,12
188,188,12
189,189,12
190,190,12
191,191,12
192,192,12
193,193,12
194,194,12
195,195,12
196,196,12
197,197,12
198,198,12
199,199,12
200,200,12
201,201,12
202,202,12
203,203,12
204,204,12
205,205,12
206,206,12
207,207,12
208,208,12
209,209,12
210,210,12
211,211,12
212,212,12
213,213,12
214,214,12
215,215,12
216,216,12
217,217,12
218,218,12
219,219,12
220,220,12
221,221,12
222,222,12
223,223,12
224,224,12
225,225,12
226,226,12
227,227,12
228,228,12
229,229,12
230,230,13
231,231,13
232,232,13
233,233,13
234,234,13
235,235,13
236,236,13
237,237,13
238,238,13
239,239,14
240,240,14
241,241,14
242,242,14
243,243,14
244,244,14
245,245,14
246,246,14
247,247,14
248,248,14
249,249,14
250,250,14
251,251,14
252,252,14
253,253,14
254,254,14
255,255,14
256,256,14
257,257,14
258,258,14
259,259,15
260,260,15
261,261,15
262,262,15
263,263,15
264,264,15
265,265,15
266,266,15
267,267,15
268,268,15
269,269,15
270,270,15
271,271,15
272,272,15
273,273,15
274,274,15
275,275,15
276,276,15
277,277,15
278,278,15
279,279,15
280,280,15
281,281,15
282,282,15
283,283,15
284,284,15
285,285,15
286,286,15
287,287,15
288,288,15
289,289,16
290,290,16
291,291,16
292,292,16
293,293,16
294,294,16
295,295,16
296,296,16
297,297,16
298,298,16
299,299,16
300,300,16
301,301,17
302,302,18
303,303,19
304,304,19
305,305,19
306,306,19
307,307,19
308,308,19
309,309,19
310,310,19
311,311,19
312,312,19
313,313,19
314,314,19
315,315,19
316,316,19
317,317,19
318,318,19
319,319,20
320,320,20
321,321,20
322,322,20
323,323,20
324,324,20
325,325,20
326,326,20
327,327,20
328,328,20
329,329,20
330,330,20
331,331,20
332,332,20
333,333,20
334,334,20
335,335,20
336,336,20
337,337,20
338,338,20
339,339,20
340,340,20
341,341,20
342,342,20
343,343,20
344,344,20
345,345,20
346,346,20
347,347,20
348,348,20
349,349,20
350,350,20
351,351,20
352,352,20
353,353,20
354,354,20
355,355,21
356,356,21
357,357,21
358,358,21
359,359,21
360,360,21
361,361,21
362,362,21
363,363,21
364,364,21
365,365,21
366,366,21
367,367,21
368,368,21
369,369,21
370,370,21
371,371,22
372,372,22
373,373,22
374,374,22
375,375,22
376,376,22
377,377,22
378,378,22
379,379,22
380,380,22
381,381,22
382,382,22
383,383,22
384,384,22
385,385,22
386,386,22
387,387,22
388,388,22
389,389,22
390,390,22
391,391,22
392,392,22
393,393,22
394,394,22
395,395,22
396,396,22
397,397,22
398,398,22
399,399,22
400,400,22
401,401,22
402,402,22
403,403,22
404,404,22
405,405,22
406,406,22
407,407,22
408,408,22
409,409,22
410,410,22
411,411,22
412,412,22
413,413,22
414,414,22
415,415,22
416,416,22
417,417,22
418,418,22
419,419,22
420,420,22
421,421,22
422,422,22
423,423,22
424,424,22
425,425,22
426,426,22
427,427,22
428,428,22
429,429,22
430,430,22
431,431,22
432,432,22
433,433,22
434,434,22
435,435,22
436,436,22
437,437,22
438,438,23
439,439,23
440,440,23
441,441,24
442,442,24
443,443,24
444,444,24
445,445,24
446,446,24
447,447,24
448,448,24
449,449,24
450,450,24
451,451,24
452,452,24
453,453,24
454,454,24
455,455,24
456,456,24
457,457,24
458,458,24
459,459,24
460,460,24
461,461,24
462,462,24
463,463,24
464,464,24
465,465,24
466,466,24
467,467,24
468,468,24
469,469,24
470,470,24
471,471,24
472,472,24
473,473,24
474,474,24
475,475,24
476,476,24
477,477,24
478,478,24
479,479,24
480,480,24
481,481,24
482,482,24
483,483,24
484,484,24
485,485,24
486,486,25
487,487,25
488,488,25
489,489,25
490,490,25
491,491,25
492,492,25
493,493,25
494,494,25
495,495,25
496,496,25
497,497,25
498,498,25
499,499,25
500,500,25
501,501,25
502,502,25
503,503,25
